Section,Category,Number,Expectation,Reference,Statement,Status,Score,Notes
7,Contracts and data sharing,7.3,Restricted transfers,7.3.2,"If a restricted transfer is not covered by an adequacy decision nor an appropriate safeguard, you consider whether it is covered by an exemption set out in Article 49 of the UK GDPR",,,
7,Contracts and data sharing,7.4,Processors,7.4.1,You have written contracts with all processors.,,,
7,Contracts and data sharing,7.4,Processors,7.4.2,"If using a processor, you assess the risk to individuals and make sure that these risks are mitigated effectively.",,,
7,Contracts and data sharing,7.4,Processors,7.4.3,An appropriate level of management approves the contracts and both parties sign. The level of management required for approval is proportionate to the value and risk of the contract. ,,,
7,Contracts and data sharing,7.4,Processors,7.4.4,"Each contract (or other legal act) sets out details of the processing including the:
• subject matter of the processing;
• duration of the processing;
• nature and purpose of the processing;
• type of personal data involved;
• categories of data subject; and
• controller’s obligations and rights, in accordance with the list set out in Article 28(3) of the UK GDPR.",,,
7,Contracts and data sharing,7.4,Processors,7.4.5,"You keep a record or log of all current processor contracts, which you update when processors change.",,,
7,Contracts and data sharing,7.4,Processors,7.4.6,You review contracts periodically to make sure they remain up to date.,,,
7,Contracts and data sharing,7.4,Processors,7.4.7,"If a processor uses a sub-processor to help with the processing it is doing on your behalf, they have written authorisation from your organisation and a written contract with that sub-processor.",,,
7,Contracts and data sharing,7.5,Controller-processor contract requirements,7.5.1,"The contract or other legal act includes terms or clauses stating that the processor must:
• only act on the controller’s documented instructions, unless required by law to act without such instructions;
• ensure that people processing the data are subject to a duty of confidence;
• help the controller respond to requests from individuals to exercise their rights; and
• submit to audits and inspections.",,,
7,Contracts and data sharing,7.5,Controller-processor contract requirements,7.5.2,"Contracts include the technical and organisational security measures the processor will adopt (including encryption, pseudonymisation, resilience of processing systems and backing up personal data in order to be able to reinstate the system).",,,
7,Contracts and data sharing,7.5,Controller-processor contract requirements,7.5.3,The contract inlcudes clauses to make sure that the processor either deletes or returns all personal data to the controller at the end of the contract. The processor must also delete existing personal data unless the law requires its storage.,,,
7,Contracts and data sharing,7.5,Controller-processor contract requirements,7.5.4,"Clauses are included to make sure that the processor assists the controller in meeting its UK GDPR obligations regarding the security of processing, the notification of personal data breaches and DPIAs. ",,,
7,Contracts and data sharing,7.6,Processor due diligence checks ,7.6.1,The procurement process builds in due diligence checks proportionate to the risk of the processing before you agree a contract with a processor.,,,
7,Contracts and data sharing,7.6,Processor due diligence checks ,7.6.2,"The due diligence process includes data security checks, eg site visits, system testing and audit requests.",,,
7,Contracts and data sharing,7.6,Processor due diligence checks ,7.6.3,The due diligence process includes checks to confirm a potential processor will protect data subjects' rights.,,,
7,Contracts and data sharing,7.7,Processor compliance reviews,7.7.1,"Contracts include clauses to allow your organisation to conduct audits or checks, to confirm the processor is complying with all contractual terms and conditions.",,,
7,Contracts and data sharing,7.7,Processor compliance reviews,7.7.2,"You carry out routine compliance checks, proportionate to the processing risks, to test that processors are complying with contractual agreements.",,,
7,Contracts and data sharing,7.8,Third party products and services,7.8.1,"When third parties supply products or services to process personal data, you choose suppliers that design their products or services with data protection in mind. ",,,
7,Contracts and data sharing,7.9,"Purpose limitation
",7.9.1,Your organisation only shares the personal data necessary to achieve its specific purpose.,,,
7,Contracts and data sharing,7.9,"Purpose limitation
",7.9.2,"When information is shared, it is pseudonymised or minimised wherever possible. You also consider anonymisation so that the information is no longer personal data.",,,
8,Risks and Data Protection Impact Assessments,8.1,"Identifying, recording and managing risks",8.1.1,"An information risk policy (either a separate document or part of a wider corporate risk policy) sets out how your organisation and its data processors manage information risk, and how you monitor compliance with the information risk policy.",,,
8,Risks and Data Protection Impact Assessments,8.1,"Identifying, recording and managing risks",8.1.2,"You have a process to help staff report and escalate data protection and information governance concerns and risks to a central point, for example, staff forums.",,,
8,Risks and Data Protection Impact Assessments,8.1,"Identifying, recording and managing risks",8.1.3,"You identify and manage information risks in an appropriate risk register, which includes clear links between corporate and departmental risk registers and the risk assessment of information assets.",,,
8,Risks and Data Protection Impact Assessments,8.1,"Identifying, recording and managing risks",8.1.4,"You have formal procedures to identify, record and manage risks associated with information assets in an information asset register. ",,,
8,Risks and Data Protection Impact Assessments,8.1,"Identifying, recording and managing risks",8.1.5,"If you identify information risks, you have appropriate action plans, progress reports and a consideration of the lessons learnt to avoid future risk.",,,
8,Risks and Data Protection Impact Assessments,8.1,"Identifying, recording and managing risks",8.1.6,"You put measures in place to mitigate the risks identified within risk categories, and you test these regularly to make sure that they remain effective.",,,
8,Risks and Data Protection Impact Assessments,8.2,Data protection by design and by default,8.2.1,"You reference DPIA requirements in all risk, project and change management policies and procedures, with links to DPIA policies and procedures.",,,
8,Risks and Data Protection Impact Assessments,8.2,Data protection by design and by default,8.2.2,"Your procedures state that, if required, a DPIA should begin at the project's outset, before processing starts, and that the DPIA must run alongside the planning and development process.",,,
8,Risks and Data Protection Impact Assessments,8.2,Data protection by design and by default,8.2.3,"You anticipate risks and privacy-invasive events before they occur, making sure that at the initial design phase of any system, product or process and throughout, you consider the: 
• intended processing activities;
• risks that these may pose to the rights and freedoms of individuals; and
• possible measures available to mitigate the risks.",,,
8,Risks and Data Protection Impact Assessments,8.3,DPIA policy and procedures,8.3.1,"You have a DPIA policy which includes:
• clear procedures to decide whether you conduct a DPIA; 
• what the DPIA should cover;
•  who will authorise it; and
• how you will incorporate it into the overall planning.",,,
8,Risks and Data Protection Impact Assessments,8.3,DPIA policy and procedures,8.3.2,"You have a screening checklist to consider if you need a DPIA, including all the relevant considerations on the scope, type and manner of the proposed processing. ",,,
8,Risks and Data Protection Impact Assessments,8.3,DPIA policy and procedures,8.3.3,"If the screening checklist indicates that you do not need a DPIA, you document this.",,,
8,Risks and Data Protection Impact Assessments,8.3,DPIA policy and procedures,8.3.4,Your procedure includes the requirement to seek advice from the DPO and other internal staff as appropriate.,,,
8,Risks and Data Protection Impact Assessments,8.3,DPIA policy and procedures,8.3.5,"Your procedure includes consultation with controllers, data processors, individuals, their representatives and any other relevant stakeholders as appropriate.",,,
8,Risks and Data Protection Impact Assessments,8.3,DPIA policy and procedures,8.3.6,"Staff training includes the need to consider a DPIA at the early stages of any plan involving personal data, and where relevant, you train staff in how to carry out a DPIA. ",,,
8,Risks and Data Protection Impact Assessments,8.3,DPIA policy and procedures,8.3.7,"You assign responsibility for completing DPIAs to a member of staff who has enough authority over a project to effect change, eg a project lead or manager.",,,
8,Risks and Data Protection Impact Assessments,8.4,DPIA content,8.4.1,"Your organisation has a standard, well-structured DPIA template which is written in plain English. ",,,
8,Risks and Data Protection Impact Assessments,8.4,DPIA content,8.4.2,"DPIAs:
• include the nature, scope, context and purposes of the processing;
• assess necessity, proportionality and compliance measures;
• identify and assess risks to individuals; and 
• identify any additional measures to mitigate those risks.",,,
8,Risks and Data Protection Impact Assessments,8.4,DPIA content,8.4.3,"DPIAs clearly set out the relationships and data flows between controllers, processors, data subjects and systems.",,,
8,Risks and Data Protection Impact Assessments,8.4,DPIA content,8.4.4,"DPIAs identify measures that can be put in place to eliminate, mitigate or reduce high risks.",,,
8,Risks and Data Protection Impact Assessments,8.4,DPIA content,8.4.5,"You have a documented process, with appropriate document controls, that you review periodically to make sure that it remains up-to-date.",,,
8,Risks and Data Protection Impact Assessments,8.4,DPIA content,8.4.6,"You record your DPO's advice and recommendations, and the details of other consultations.",,,
8,Risks and Data Protection Impact Assessments,8.4,DPIA content,8.4.7,"Appropriate people sign off DPIAs, such as a project lead or senior manager.",,,
8,Risks and Data Protection Impact Assessments,8.5,DPIA risk mitigation and review,8.5.1,You have a procedure to consult the ICO if you cannot mitigate residual high risks.,,,
8,Risks and Data Protection Impact Assessments,8.5,DPIA risk mitigation and review,8.5.2,"You integrate outcomes from DPIAs into relevant work plans, project action plans and risk registers.",,,
8,Risks and Data Protection Impact Assessments,8.5,DPIA risk mitigation and review,8.5.3,You do not start high risk processing until mitigating measures are in place following the DPIA.,,,
8,Risks and Data Protection Impact Assessments,8.5,DPIA risk mitigation and review,8.5.4,"You have a procedure to communicate the outcomes of DPIAs to appropriate stakeholders, eg through a formal summarised report.",,,
8,Risks and Data Protection Impact Assessments,8.5,DPIA risk mitigation and review,8.5.5,"You consider actively publishing DPIAs where possible, removing sensitive details if necessary.",,,
8,Risks and Data Protection Impact Assessments,8.5,DPIA risk mitigation and review,8.5.6,"You agree and document a schedule for reviewing the DPIA regularly or when the nature, scope, context or purposes of the processing changes.",,,
9,Records management and security,9.1,"Creating, locating and retrieving records",9.1.1,"You have policies and procedures to make sure that you appropriately classify, title and index new records in a way that facilitates management, retrieval and disposal. ",,,
9,Records management and security,9.1,"Creating, locating and retrieving records",9.1.2,You identify where you use manual and electronic record-keeping systems and maintain a central log or information asset register.,,,
9,Records management and security,9.1,"Creating, locating and retrieving records",9.1.3,"You know the whereabouts of records at all times, you track their movements, and you attempt to trace records that are missing or not returned.",,,
9,Records management and security,9.1,"Creating, locating and retrieving records",9.1.4,You index records stored off-site with unique references to enable accurate retrieval and subsequent tracking.,,,
9,Records management and security,9.2,Security for transfers,9.2.1,"You document rules to protect the internal and external transfer of records by post, fax and electronically, for example in a transfer policy or guidance.",,,
9,Records management and security,9.2,Security for transfers,9.2.2,You minimise data transferred off-site and keep it secure in transit.,,,
9,Records management and security,9.2,Security for transfers,9.2.3,"When you transfer data off site, you use an appropriate form of transport, (for example, secure courier, encryption, secure file transfer protocol (SFTP) or Virtual Private Network (VPN)), and you check to make sure that the information has been received.",,,
9,Records management and security,9.2,Security for transfers,9.2.4,You have agreements in place with any third parties used to transfer business information between your organisation and third parties.,,,
9,Records management and security,9.3,Data quality,9.3.1,"You conduct regular data quality reviews of records containing personal data to make sure they are accurate, adequate and not excessive.",,,
9,Records management and security,9.3,Data quality,9.3.2,You make staff aware of data quality issues following data quality checks or audits to prevent recurrence.,,,
9,Records management and security,9.3,Data quality,9.3.3,Records containing personal data (whether 'active' or archived) are 'weeded' periodically to reduce the risks of inaccuracies and excessive retention.,,,
9,Records management and security,9.4,Retention schedule,9.4.1,You have a retention schedule based on business need with reference to statutory requirements and other principles (for example the National Archives). ,,,
9,Records management and security,9.4,Retention schedule,9.4.2,The schedule provides sufficient information to identify all records and to implement disposal decisions in line with the schedule.,,,
9,Records management and security,9.4,Retention schedule,9.4.3,You assign responsibilities to make sure that staff adhere to the schedule and you review it regularly.,,,
9,Records management and security,9.4,Retention schedule,9.4.4,"You regularly review retained data to identify opportunities for minimisation, pseudonymisation, or anonymisation, and you document this in the schedule.",,,
9,Records management and security,9.5,Destruction,9.5.1,"For paper documents, you use locked waste bins for records containing personal data, and either in-house or third party cross shredding or incineration is in place.",,,
9,Records management and security,9.5,Destruction,9.5.2,"For information held on electronic devices, wiping, degaussing or secure destruction of hardware (shredding) is in place.",,,
9,Records management and security,9.5,Destruction,9.5.3,"You either hold, collect or send away securely confidential waste awaiting destruction.",,,
9,Records management and security,9.5,Destruction,9.5.4,"You have appropriate contracts in place with third parties to dispose of personal data, and they provide you with appropriate assurance that they have disposed of the data securely, for example through audit checks and destruction certificates.",,,
9,Records management and security,9.5,Destruction,9.5.5,You have a log of all equipment and confidential waste sent for disposal or destruction.,,,
9,Records management and security,9.6,Information Asset Register,9.6.1,"Your organisation has an asset register that holds details of all information assets (software and hardware) including: 
• asset owners; 
• asset location; 
• retention periods; and 
• security measures deployed.",,,
9,Records management and security,9.6,Information Asset Register,9.6.2,You review the register periodically to make sure it remains up to date and accurate.,,,
9,Records management and security,9.6,Information Asset Register,9.6.3,You periodically risk-assess assets within the register and you carry out physical checks to make sure that the hardware asset inventory remains accurate.,,,
9,Records management and security,9.7,Rules for acceptable software use,9.7.1,You have Acceptable Use or terms and conditions of use procedures in place.,,,
9,Records management and security,9.7,Rules for acceptable software use,9.7.2,You have system operating procedures which document the security arrangements and measures in place to protect the data held within systems or applications.,,,
9,Records management and security,9.7,Rules for acceptable software use,9.7.3,Your organisation monitors compliance with Acceptable Use rules and makes sure that staff are aware of any monitoring.,,,
9,Records management and security,9.8,Access control,9.8.1,"You have an Access Control policy which specifies that users must follow your organisation's practices in the use of secret authentication information, for example passwords or tokens.",,,
9,Records management and security,9.8,Access control,9.8.2,"You implement a formal user access provisioning procedure to assign access rights for staff (including temporary staff) and third party contractors to all relevant systems and services required to fulfil their role, for example 'new starter process'.",,,
9,Records management and security,9.8,Access control,9.8.3,You restrict and control the allocation and use of privileged access rights.,,,
9,Records management and security,9.8,Access control,9.8.4,You keep a log of user access to systems holding personal data.,,,
9,Records management and security,9.8,Access control,9.8.5,"You regularly review users' access rights and adjust or remove rights where appropriate, for example when an employee changes role or leaves the organisation.",,,
9,Records management and security,9.9.,Unauthorised access,9.9.1,You restrict access to systems or applications processing personal data to the absolute minimum in accordance with the principle of least privilege (for example read/write/delete/execute access rules are applied).,,,
9,Records management and security,9.9.,Unauthorised access,9.9.2,You apply minimum password complexity rules and limited log on attempts to systems or applications processing personal data.,,,
9,Records management and security,9.9.,Unauthorised access,9.9.3,"You have password management controls in place, including default password changing, controlled use of any shared passwords and secure password storage (not in plain text).",,,
9,Records management and security,9.9.,Unauthorised access,9.9.4,Emails content and attachment security solutions (encryption) appropriately protect emails containing sensitive personal data.,,,
9,Records management and security,9.9.,Unauthorised access,9.9.5,You log and monitor user and system activity to detect anything unusual.,,,
9,Records management and security,9.9.,Unauthorised access,9.9.6,You implement anti-malware and anti-virus (AV) protection across the network and on critical or sensitive information systems if appropriate.,,,
9,Records management and security,9.9.,Unauthorised access,9.9.7,Anti-malware and anti-virus protection is kept up to date and you configure it to perform regular scans.,,,
9,Records management and security,9.9.,Unauthorised access,9.9.8,"Your organisation has access to and acts upon any updates on technical vulnerabilities to systems or software, for example vendor’s alerts or patches.",,,
9,Records management and security,9.9.,Unauthorised access,9.9.9,You regularly run vulnerability scans.,,,
9,Records management and security,9.9.,Unauthorised access,9.9.10,You deploy URL or web content filtering to block specific websites or entire categories.,,,
9,Records management and security,9.9.,Unauthorised access,9.9.11,"You strictly control or prohibit the use of social media, or messaging apps such as WhatsApp to share personal data.",,,
9,Records management and security,9.9.,Unauthorised access,9.9.12,"You have external and internal firewalls and intrusion detection systems in place as appropriate, to make sure that the information in networks and systems is protected from unauthorised access or attack, for example denial of service attacks.",,,
9,Records management and security,9.9.,Unauthorised access,9.9.13,"You do not have unsupported operating systems in use, for example Windows XP, Windows Server 2003.",,,
9,Records management and security,9.9.,Unauthorised access,9.9.14,"You establish special controls to safeguard the confidentiality and integrity of data passing over public networks or over wireless networks, and to protect the connected systems and applications.",,,
9,Records management and security,9.10.,"Mobile devices, home or remote working and removable media",9.10.1,You have a mobile device and a home/remote working policy that demonstrates how your organisation will manage the associated security risks.,,,
9,Records management and security,9.10.,"Mobile devices, home or remote working and removable media",9.10.2,"You have protections in place to avoid the unauthorised access to, or disclosure of, the information processed by mobile devices, for example encryption and remote wiping capabilities.",,,
9,Records management and security,9.10.,"Mobile devices, home or remote working and removable media",9.10.3,"You implement security measures to protect information processed when home or remote working, for example VPN and two factor authentication.",,,
9,Records management and security,9.10.,"Mobile devices, home or remote working and removable media",9.10.4,Your organisation uses the most up to date version of its remote access solution. You are able to support and update devices remotely.,,,
9,Records management and security,9.10.,"Mobile devices, home or remote working and removable media",9.10.5,"Where you have a business need to store personal data on removable media, you minimise personal data and your organisation implements a software solution that can set permissions or restrictions for individual devices, as well as an entire class of devices.",,,
9,Records management and security,9.10.,"Mobile devices, home or remote working and removable media",9.10.6,"You do not allow equipment, information or software to be taken off-site without prior authorisation, and you have a log of all mobile devices and removeable media used and who they are allocated to.",,,
9,Records management and security,9.11,Secure areas,9.11.1,"You protect secure areas (areas that contain either sensitive or critical information) by appropriate entry controls such as doors and locks, alarms, security lighting or CCTV.",,,
9,Records management and security,9.11,Secure areas,9.11.2,"You have visitor protocols in place such as signing-in procedures, name badges and escorted access.",,,
9,Records management and security,9.11,Secure areas,9.11.3,You implement additional protection against external and environmental threats in secure areas such as server rooms.,,,
9,Records management and security,9.11,Secure areas,9.11.4,Office equipment is appropriately placed and protected to reduce the risks from environmental threats and opportunities for unauthorised access.,,,
9,Records management and security,9.11,Secure areas,9.11.5,You securely store paper records and control access to them.,,,
9,Records management and security,9.11,Secure areas,9.11.6,You operate a clear desk policy across the organisation where personal data is processed.,,,
9,Records management and security,9.11,Secure areas,9.11.7,You have regular clear desk 'sweeps' or checks and issues are fed back appropriately.,,,
9,Records management and security,9.11,Secure areas,9.11.8,You operate a 'clear screen' policy across your organisation where personal data is processed.,,,
9,Records management and security,9.12,"Business continuity, disaster recovery and back-ups",9.12.1,"You have a risk-based business continuity plan to manage disruption and a disaster recovery plan to manage disasters, which identify records that are critical to the continued functioning of the organisation.",,,
9,Records management and security,9.12,"Business continuity, disaster recovery and back-ups",9.12.2,"You take back-up copies of electronic information, software and systems (and ideally store them off-site).",,,
9,Records management and security,9.12,"Business continuity, disaster recovery and back-ups",9.13.3,The frequency of backups reflects the sensitivity and importance of the data.,,,
9,Records management and security,9.12,"Business continuity, disaster recovery and back-ups",9.13.4,You regularly test back-ups and recovery processes to make sure they remain fit for purpose.,,,
10,Breach response and monitoring,10.1,"Detecting, managing and recording incidents and breaches",10.1.1,You have appropriate training in place so that staff are able to recognise a security incident and a personal data breach.,,,
10,Breach response and monitoring,10.1,"Detecting, managing and recording incidents and breaches",10.1.2,A dedicated person or team manages security incidents and personal data breaches.,,,
10,Breach response and monitoring,10.1,"Detecting, managing and recording incidents and breaches",10.1.3,Staff know how to escalate a security incident promptly to the appropriate person or team to determine whether a breach has occurred.,,,
10,Breach response and monitoring,10.1,"Detecting, managing and recording incidents and breaches",10.1.4,Procedures and systems facilitate the reporting of security incidents and breaches.,,,
10,Breach response and monitoring,10.1,"Detecting, managing and recording incidents and breaches",10.1.5,Your organisation has a response plan for promptly addressing any security incidents and personal data breaches that occur.,,,
10,Breach response and monitoring,10.1,"Detecting, managing and recording incidents and breaches",10.1.6,You centrally log/record/document both actual breaches and near misses (even if they do not need to be reported to the ICO or individuals).,,,
10,Breach response and monitoring,10.1,"Detecting, managing and recording incidents and breaches",10.1.7,"The log documents the facts relating to the near miss or breach including: 
• its causes; 
• what happened; 
• the personal data affected; 
• the effects of the breach; and 
• any remedial action taken and rationale.",,,
10,Breach response and monitoring,10.2,Assessing and reporting breaches,10.2.1,You have a procedure to assess the likelihood and severity of the risk to individuals as a result of a personal data breach.,,,
10,Breach response and monitoring,10.2,Assessing and reporting breaches,10.2.2,You have a procedure to notify the ICO of a breach within 72 hours of becoming aware of it (even when all the information is not yet available) and you notify the ICO on time.,,,
10,Breach response and monitoring,10.2,Assessing and reporting breaches,10.2.3,The procedure includes details of what information must be given to the ICO about the breach.,,,
10,Breach response and monitoring,10.2,Assessing and reporting breaches,10.2.4,"If you consider it unnecessary to report a breach, you document the reasons why your organisation considers the breach is unlikely to result in a risk to the rights and freedoms of individuals.",,,
10,Breach response and monitoring,10.3,Notifying individuals,10.3.1,You have a procedure setting out how you will tell affected individuals about a breach when it is likely to result in a high risk to their rights and freedoms.,,,
10,Breach response and monitoring,10.3,Notifying individuals,10.3.2,"You tell individuals about personal data breaches in clear, plain language without undue delay.",,,
10,Breach response and monitoring,10.3,Notifying individuals,10.3.3,"The information you provide to individuals includes the DPO's details, a description of the likely consequences of the breach and the measures taken (including mitigating actions and any possible adverse effects).",,,
10,Breach response and monitoring,,Notifying individuals,10.3.4,You provide individuals with advice to protect themselves from any effects of the breach.,,,
10,Breach response and monitoring,10.4,Reviewing and monitoring,10.4.1,You analyse all personal data breach reports to prevent a recurrence. ,,,
10,Breach response and monitoring,10.4,Reviewing and monitoring,10.4.2,"Your organisation monitors the type, volume and cost of incidents. ",,,
10,Breach response and monitoring,10.4,Reviewing and monitoring,10.4.3,"You undertake trend analysis on breach reports over time to understand themes or issues, and outputs are reviewed by groups with oversight for data protection and information governance.",,,
10,Breach response and monitoring,10.4,Reviewing and monitoring,10.4.4,Groups with oversight for data protection and information governance review the outputs.,,,
10,Breach response and monitoring,10.5,External audit or compliance check,10.5.1,Your organisation completes externally-provided self-assessment tools to provide assurances on compliance with data protection and information security compliance.,,,
10,Breach response and monitoring,10.5,External audit or compliance check,10.5.2,Your organisation is subject to or employs the services of an external auditor to provide independent assurances (or certification) on data protection and information security compliance.,,,
10,Breach response and monitoring,10.5,External audit or compliance check,10.5.3,Your organisation adheres to an appropriate code of conduct or practice for your sector (if one exists).,,,
10,Breach response and monitoring,10.5,External audit or compliance check,10.5.4,You produce audit reports to document the findings.,,,
10,Breach response and monitoring,10.5,External audit or compliance check,10.5.5,You have a central action plan in place to take forward the outputs from data protection and information governance audits.,,,
10,Breach response and monitoring,10.6,Internal audit programme,10.6.1,You monitor your own data protection compliance and you regularly test the effectiveness of the measures you have in place.,,,
10,Breach response and monitoring,10.6,Internal audit programme,10.6.2,Your organisation regularly tests staff adherence to data protection and information governance policies and procedures.,,,
10,Breach response and monitoring,10.6,Internal audit programme,10.6.3,"You routinely conduct informal, ad-hoc monitoring and spot checks.",,,
10,Breach response and monitoring,10.6,Internal audit programme,10.6.4,You make sure that your monitoring of policy compliance is unbiased by keeping it separate from those who implement the policies.,,,
10,Breach response and monitoring,10.6,Internal audit programme,10.6.5,You have a central audit plan/schedule in place to show the planning of data protection and information governance internal audits.,,,
10,Breach response and monitoring,10.6,Internal audit programme,10.6.6,You produce audit reports to document the findings.,,,
10,Breach response and monitoring,10.6,Internal audit programme,10.6.7,You have a central action plan in place to take forward the outputs from data protection and information governance audits.,,,
10,Breach response and monitoring,10.7,Performance and compliance information,10.7.1,You have Key Performance Indicators (KPIs) regarding SAR performance  (the volume of requests and the percentage completed within statutory timescales).,,,
10,Breach response and monitoring,10.7,Performance and compliance information,10.7.2,"You have KPIs regarding the completion of data protection and information governance training, including a report showing the percentage of staff who have complete the training. ",,,
10,Breach response and monitoring,10.7,Performance and compliance information,10.7.3,"You have KPIs regarding information security, including the number of security breaches, incidents and near misses.",,,
10,Breach response and monitoring,10.7,Performance and compliance information,10.7.4,"You have KPIs regarding records management, including the use of metrics such as file retrieval statistics, adherence to disposal schedules, and the performance of the system in place to index and track paper files containing personal data.",,,
10,Breach response and monitoring,10.8,Use of management information,10.8.1,You have a dashboard giving a high-level summary of all key data protection and information governance KPIs.,,,
10,Breach response and monitoring,10.8,Use of management information,10.8.2,The group(s) providing oversight of data protection and information governance regularly discuss KPIs and the outcomes of monitoring and reviews.,,,
10,Breach response and monitoring,10.8,Use of management information,10.8.3,"Data protection and information governance KPIs and the outcomes of monitoring and reviews are discussed regularly by groups at operational level, for example in team meetings.",,,
